Time  Layer1_Flux  Layer1_Error  Layer2_Flux  Layer2_Error  Layer3_Flux  Layer3_Error  Layer4_Flux  Layer4_Error  Layer5_Flux  Layer5_Error  Layer6_Flux  Layer6_Error  Layer7_Flux  Layer7_Error  Layer8_Flux  Layer8_Error  Layer9_Flux  Layer9_Error  Layer10_Flux  Layer10_Error  Layer11_Flux  Layer11_Error  Layer12_Flux  Layer12_Error  Layer13_Flux  Layer13_Error  Layer14_Flux  Layer14_Error  Layer15_Flux  Layer15_Error  Layer16_Flux  Layer16_Error  Layer17_Flux  Layer17_Error
0.0000E+00  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000
1.0000E+02  4.77885E-03  0.0064  4.18722E-03  0.0067  1.96234E-03  0.0098  1.77608E-03  0.0108  3.28502E-03  0.0078  2.85310E-03  0.0084  1.25203E-03  0.0127  2.00991E-03  0.0101  1.91900E-03  0.0102  1.76827E-03  0.0107  3.10801E-04  0.0193  6.88466E-04  0.0171  5.83694E-04  0.0141  4.95068E-04  0.0153  3.96257E-04  0.0169  4.43420E-04  0.0162  3.05582E-04  0.0197
2.0000E+02  4.05559E-03  0.0095  3.53307E-03  0.0100  1.64201E-03  0.0148  1.62505E-03  0.0153  2.98628E-03  0.0112  2.54797E-03  0.0121  1.14214E-03  0.0181  1.89530E-03  0.0141  1.80576E-03  0.0144  1.63727E-03  0.0151  2.99906E-04  0.0268  6.22648E-04  0.0245  5.98829E-04  0.0190  5.08265E-04  0.0206  4.11160E-04  0.0231  4.50167E-04  0.0219  3.20640E-04  0.0262
3.0000E+02  3.61922E-03  0.0106  3.17547E-03  0.0113  1.48358E-03  0.0167  1.46519E-03  0.0170  2.71898E-03  0.0124  2.26408E-03  0.0135  1.04212E-03  0.0201  1.75980E-03  0.0154  1.67929E-03  0.0158  1.48598E-03  0.0168  2.92599E-04  0.0289  5.59043E-04  0.0275  5.84471E-04  0.0204  5.02309E-04  0.0221  4.11912E-04  0.0243  4.37163E-04  0.0237  3.13668E-04  0.0279
4.0000E+02  3.26645E-03  0.0115  2.84894E-03  0.0123  1.38562E-03  0.0177  1.34523E-03  0.0182  2.51933E-03  0.0132  2.08058E-03  0.0145  9.67180E-04  0.0213  1.63772E-03  0.0164  1.53803E-03  0.0169  1.36549E-03  0.0179  2.97389E-04  0.0294  5.18961E-04  0.0292  5.46382E-04  0.0216  4.74397E-04  0.0233  4.00409E-04  0.0254  4.25641E-04  0.0245  3.06472E-04  0.0290
5.0000E+02  2.98095E-03  0.0121  2.57314E-03  0.0131  1.28081E-03  0.0187  1.27551E-03  0.0188  2.31820E-03  0.0139  1.95349E-03  0.0151  8.75897E-04  0.0227  1.52539E-03  0.0171  1.41650E-03  0.0178  1.27246E-03  0.0188  2.86557E-04  0.0302  4.86423E-04  0.0304  5.38387E-04  0.0221  4.49691E-04  0.0241  3.89491E-04  0.0260  4.14076E-04  0.0252  2.92649E-04  0.0298
6.0000E+02  2.77251E-03  0.0127  2.40333E-03  0.0136  1.18004E-03  0.0195  1.18922E-03  0.0196  2.14640E-03  0.0145  1.84481E-03  0.0156  8.11446E-04  0.0237  1.45380E-03  0.0177  1.33035E-03  0.0184  1.20081E-03  0.0194  2.79357E-04  0.0309  4.54892E-04  0.0315  5.24101E-04  0.0226  4.32978E-04  0.0247  3.77789E-04  0.0265  3.96614E-04  0.0259  2.79846E-04  0.0309
7.0000E+02  2.62323E-03  0.0131  2.23278E-03  0.0141  1.08493E-03  0.0204  1.09381E-03  0.0204  2.01577E-03  0.0150  1.71986E-03  0.0163  7.76356E-04  0.0242  1.37987E-03  0.0182  1.26341E-03  0.0190  1.11718E-03  0.0203  2.68091E-04  0.0315  4.23233E-04  0.0329  4.99607E-04  0.0230  4.15916E-04  0.0253  3.69781E-04  0.0268  3.84851E-04  0.0262  2.71949E-04  0.0313
8.0000E+02  2.44602E-03  0.0136  2.08622E-03  0.0147  9.90971E-04  0.0215  1.03749E-03  0.0210  1.91768E-03  0.0154  1.64150E-03  0.0167  7.29943E-04  0.0251  1.29990E-03  0.0188  1.19516E-03  0.0195  1.04271E-03  0.0210  2.66091E-04  0.0318  4.07029E-04  0.0336  4.95453E-04  0.0232  4.01490E-04  0.0256  3.72823E-04  0.0268  3.88232E-04  0.0262  2.70390E-04  0.0314
9.0000E+02  2.27858E-03  0.0141  1.94743E-03  0.0152  9.19054E-04  0.0223  9.99156E-04  0.0215  1.83468E-03  0.0158  1.57143E-03  0.0171  6.83622E-04  0.0259  1.23964E-03  0.0192  1.13376E-03  0.0202  9.86289E-04  0.0215  2.63139E-04  0.0320  3.99816E-04  0.0338  4.90055E-04  0.0233  4.01751E-04  0.0258  3.66660E-04  0.0270  3.86274E-04  0.0264  2.72581E-04  0.0313
