Time  Layer1_Flux  Layer1_Error  Layer2_Flux  Layer2_Error  Layer3_Flux  Layer3_Error  Layer4_Flux  Layer4_Error  Layer5_Flux  Layer5_Error  Layer6_Flux  Layer6_Error  Layer7_Flux  Layer7_Error  Layer8_Flux  Layer8_Error  Layer9_Flux  Layer9_Error  Layer10_Flux  Layer10_Error  Layer11_Flux  Layer11_Error  Layer12_Flux  Layer12_Error  Layer13_Flux  Layer13_Error  Layer14_Flux  Layer14_Error  Layer15_Flux  Layer15_Error  Layer16_Flux  Layer16_Error  Layer17_Flux  Layer17_Error
0.0000E+00  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000  0.00000E+00  0.0000
1.0000E+02  4.78736E-03  0.0062  4.18380E-03  0.0065  1.96027E-03  0.0095  1.77824E-03  0.0104  3.28822E-03  0.0076  2.84678E-03  0.0081  1.25004E-03  0.0123  2.01271E-03  0.0098  1.91251E-03  0.0099  1.76835E-03  0.0104  5.58280E-04  0.0183  5.15566E-04  0.0190  1.05333E-03  0.0134  8.97800E-04  0.0145  7.22709E-04  0.0161  8.00625E-04  0.0154  5.49753E-04  0.0187
2.0000E+02  4.05771E-03  0.0092  3.53145E-03  0.0097  1.63783E-03  0.0144  1.62671E-03  0.0148  2.98040E-03  0.0108  2.54247E-03  0.0117  1.13056E-03  0.0176  1.89036E-03  0.0137  1.79470E-03  0.0140  1.64628E-03  0.0146  5.18747E-04  0.0259  4.66332E-04  0.0275  1.05864E-03  0.0182  8.84277E-04  0.0198  7.26595E-04  0.0221  7.85393E-04  0.0211  5.63373E-04  0.0251
3.0000E+02  3.61676E-03  0.0103  3.16616E-03  0.0109  1.48201E-03  0.0162  1.46791E-03  0.0165  2.71138E-03  0.0120  2.26814E-03  0.0131  1.03690E-03  0.0195  1.76268E-03  0.0149  1.67512E-03  0.0153  1.49146E-03  0.0162  4.95824E-04  0.0282  4.28247E-04  0.0305  1.00641E-03  0.0198  8.43287E-04  0.0217  6.85148E-04  0.0239  7.42776E-04  0.0230  5.24523E-04  0.0275
4.0000E+02  3.26455E-03  0.0111  2.84609E-03  0.0119  1.38246E-03  0.0172  1.34488E-03  0.0176  2.51067E-03  0.0128  2.08504E-03  0.0140  9.59800E-04  0.0208  1.63755E-03  0.0159  1.52717E-03  0.0165  1.36234E-03  0.0174  4.80730E-04  0.0294  3.93222E-04  0.0324  9.08694E-04  0.0213  7.63911E-04  0.0233  6.35530E-04  0.0255  7.06556E-04  0.0243  4.87811E-04  0.0291
5.0000E+02  2.98656E-03  0.0117  2.57172E-03  0.0127  1.28212E-03  0.0181  1.26720E-03  0.0183  2.30710E-03  0.0135  1.96099E-03  0.0146  8.75907E-04  0.0219  1.52254E-03  0.0166  1.40536E-03  0.0173  1.26320E-03  0.0182  4.46893E-04  0.0307  3.70402E-04  0.0337  8.60025E-04  0.0222  7.02853E-04  0.0246  6.04800E-04  0.0265  6.60613E-04  0.0253  4.58776E-04  0.0303
6.0000E+02  2.77365E-03  0.0123  2.40004E-03  0.0132  1.17942E-03  0.0189  1.17869E-03  0.0191  2.13364E-03  0.0141  1.85461E-03  0.0151  8.15498E-04  0.0229  1.44902E-03  0.0172  1.31679E-03  0.0180  1.18735E-03  0.0189  4.22171E-04  0.0318  3.40760E-04  0.0354  8.15072E-04  0.0229  6.55432E-04  0.0254  5.61260E-04  0.0276  6.16240E-04  0.0264  4.23607E-04  0.0318
7.0000E+02  2.62054E-03  0.0127  2.22674E-03  0.0137  1.08179E-03  0.0198  1.08219E-03  0.0199  2.00780E-03  0.0146  1.73013E-03  0.0157  7.82811E-04  0.0233  1.37540E-03  0.0177  1.24765E-03  0.0185  1.10945E-03  0.0197  4.01991E-04  0.0327  3.13336E-04  0.0370  7.55619E-04  0.0238  6.10330E-04  0.0265  5.33695E-04  0.0283  5.82961E-04  0.0271  4.03803E-04  0.0326
8.0000E+02  2.44817E-03  0.0132  2.08194E-03  0.0143  9.86461E-04  0.0208  1.02394E-03  0.0205  1.90928E-03  0.0150  1.64088E-03  0.0162  7.31874E-04  0.0243  1.29493E-03  0.0182  1.18303E-03  0.0190  1.03453E-03  0.0204  3.90371E-04  0.0333  3.03234E-04  0.0378  7.35397E-04  0.0241  5.73287E-04  0.0273  5.18882E-04  0.0288  5.77144E-04  0.0272  3.89352E-04  0.0332
9.0000E+02  2.28235E-03  0.0137  1.94870E-03  0.0147  9.15684E-04  0.0216  9.88365E-04  0.0209  1.83331E-03  0.0153  1.57281E-03  0.0165  6.85234E-04  0.0250  1.23502E-03  0.0187  1.12633E-03  0.0196  9.76690E-04  0.0209  3.74738E-04  0.0340  2.93983E-04  0.0383  7.03667E-04  0.0247  5.65525E-04  0.0276  5.02887E-04  0.0292  5.62726E-04  0.0277  3.88806E-04  0.0333
1.0000E+03  2.15811E-03  0.0141  1.84731E-03  0.0152  8.62520E-04  0.0222  9.50834E-04  0.0214  1.72686E-03  0.0157  1.47707E-03  0.0170  6.41956E-04  0.0259  1.17467E-03  0.0191  1.08651E-03  0.0199  9.33331E-04  0.0215  3.52470E-04  0.0350  2.85282E-04  0.0389  6.74879E-04  0.0252  5.43346E-04  0.0281  4.82757E-04  0.0297  5.43238E-04  0.0282  3.86032E-04  0.0334
